"last_name, first_name",year,predicted_oaa,actual_oaa,difference
"García, Adolis",2023,3.207956,-8,11.207956075668335
"Schwarber, Kyle",2022,-4.68931,-14,9.310689926147461
"Friedl, TJ",2023,2.1694334,-7,9.169433355331421
"Greene, Riley",2022,6.9264574,-2,8.926457405090332
"Profar, Jurickson",2022,-1.1602612,-10,8.839738845825195
"Laureano, Ramón",2023,3.6894207,-5,8.689420700073242
"De La Cruz, Bryan",2022,0.3966465,-8,8.396646499633789
"Reynolds, Bryan",2023,-0.695006,-9,8.304993987083435
"Margot, Manuel",2023,4.011801,-4,8.011800765991211
"Hernández, Teoscar",2023,0.96948624,-7,7.969486236572266
"De La Cruz, Bryan",2023,-1.0484905,-9,7.951509475708008
"Sánchez, Jesús",2022,5.440795,-2,7.440794944763184
"Benintendi, Andrew",2022,-1.0484905,-8,6.951509475708008
"Benintendi, Andrew",2023,-1.0729588,-8,6.927041172981262
"Hicks, Aaron",2022,1.8141137,-5,6.814113736152649
"Duran, Jarren",2022,6.282536,0,6.282536029815674
"Laureano, Ramón",2022,6.2591467,0,6.259146690368652
"Carlson, Dylan",2023,0.25410867,-6,6.254108667373657
"Arozarena, Randy",2023,-0.8514193,-7,6.1485806703567505
"Castro, Willi",2022,4.075328,-2,6.0753278732299805
"Fraley, Jake",2023,6.0179563,0,6.017956256866455
"Marte, Starling",2023,-1.9941238,-8,6.005876183509827
"Marsh, Brandon",2023,3.732119,-2,5.732119083404541
"Happ, Ian",2022,0.38681537,-5,5.386815369129181
"Arozarena, Randy",2022,0.3066904,-5,5.3066903948783875
"O'Neill, Tyler",2023,1.2500609,-4,5.2500609159469604
"Tatis Jr., Fernando",2023,4.17598,-1,5.175980091094971
"Grichuk, Randal",2022,-0.9087674,-6,5.091232597827911
"Suwinski, Jack",2023,-1.0449077,-6,4.9550923109054565
"Renfroe, Hunter",2023,-1.0906234,-6,4.909376621246338
"Castellanos, Nick",2023,-4.2179875,-9,4.782012462615967
"Thomas, Lane",2023,-0.25170434,-5,4.7482956647872925
"Chisholm Jr., Jazz",2023,5.7272625,1,4.727262496948242
"Tucker, Kyle",2022,-2.388736,-7,4.611263990402222
